STORE_ID,LATITUDE,LONGITUDE,DAYS_OPEN,ITEM_AVAILABILITY,ZONE,BOOKMARKS
9007,33.47996338,-112.0035245,7.0,105.0,PHOENIX (PRESCOTT),
10578,41.67324755,-93.6986484,7.0,380.0,DES MOINES-AMES,
8149,42.5193112,-70.8944937,7.0,150.0,BOSTON (MANCHESTER),
275,33.9551132,-118.1306462,7.0,5528.0,LOS ANGELES,
14610,34.5072583,-117.3988528,7.0,93.0,LOS ANGELES,
7242,32.3170013,-106.7800004,7.0,55.0,EL PASO (LAS CRUCES),
4460,33.7150622,-117.8684135,7.0,131.0,LOS ANGELES,
6776,33.8255429,-117.9927157,7.0,188.0,LOS ANGELES,
12111,34.069512,-117.173,7.0,96.0,LOS ANGELES,
3205,27.4683713,-80.3344998,7.0,93.0,WEST PALM BEACH-FT. PIERCE,
530,42.9647076,-71.44443,7.0,93.0,BOSTON (MANCHESTER),
1519,41.7529694,-70.5974198,7.0,29.0,BOSTON (MANCHESTER),
2763,26.7067996,-80.2298222,7.0,275.0,WEST PALM BEACH-FT. PIERCE,
10422,34.2076098,-118.6055108,7.0,80.0,LOS ANGELES,
4131,26.963931,-82.0725689,7.0,19.0,FT. MYERS-NAPLES,
12331,34.56735061,-112.4829304,7.0,44.0,PHOENIX (PRESCOTT),
732,32.7416497,-79.9355659,7.0,102.0,"CHARLESTON, SC",
8119,35.828902,-90.677117,7.0,156.0,JONESBORO,
1678,42.1527375,-71.4046209,7.0,32.0,BOSTON (MANCHESTER),
10914,33.76043284,-117.8512256,7.0,98.0,LOS ANGELES,
874,42.2576266,-71.823315,7.0,45.0,BOSTON (MANCHESTER),
14008,34.15618595,-118.483823,7.0,34.0,LOS ANGELES,
6623,33.6115295,-117.7141534,7.0,16.0,LOS ANGELES,
15409,35.82903337,-90.66784054,7.0,156.0,JONESBORO,
12539,43.1261689,-77.59345003,7.0,57.0,"ROCHESTER, NY",
1677,42.3282273,-71.4336964,7.0,81.0,BOSTON (MANCHESTER),
11582,33.748831,-117.810781,7.0,136.0,LOS ANGELES,
1305,42.066506,-70.869084,7.0,106.0,BOSTON (MANCHESTER),
1304,42.1003913,-71.0346872,7.0,214.0,BOSTON (MANCHESTER),
10957,33.35180744,-111.4571962,7.0,,PHOENIX (PRESCOTT),
12543,34.13848748,-117.4528112,7.0,283.0,LOS ANGELES,
6966,33.861516,-117.7400862,7.0,59.0,LOS ANGELES,
4456,33.847147,-118.0102374,7.0,123.0,LOS ANGELES,
1046,41.9890603,-70.9740562,7.0,554.0,BOSTON (MANCHESTER),
6856,34.087335,-117.9061343,7.0,89.0,LOS ANGELES,
15315,38.64383567,-121.457864,7.0,77.0,SACRAMNTO-STKTON-MODESTO,
907,42.2843109,-71.7920417,7.0,5684.0,BOSTON (MANCHESTER),
1682,29.5994278,-82.4217075,7.0,165.0,GAINESVILLE,
604,42.4475925,-71.2268632,7.0,16.0,BOSTON (MANCHESTER),
6383,33.8309718,-118.2795216,7.0,146.0,LOS ANGELES,
1696,41.5779354,-70.5584353,7.0,33.0,BOSTON (MANCHESTER),
14049,42.35410087,-71.1369205,7.0,736.0,BOSTON (MANCHESTER),
6690,34.137013,-117.2535575,7.0,120.0,LOS ANGELES,
3844,33.8476246,-118.1605061,7.0,1474.0,LOS ANGELES,
1924,38.3424604,-81.6640546,7.0,32.0,CHARLESTON-HUNTINGTON,
5823,26.4973384,-80.1464346,7.0,64.0,WEST PALM BEACH-FT. PIERCE,
9879,26.89793791,-82.03096105,7.0,37.0,FT. MYERS-NAPLES,
5242,32.9833251,-80.0918024,7.0,316.0,"CHARLESTON, SC",
4541,33.3487375,-111.929311,7.0,32.0,PHOENIX (PRESCOTT),
8995,41.644499,-93.737399,7.0,48.0,DES MOINES-AMES,
12444,36.42608979,-82.31568675,7.0,18.0,"TRI-CITIES, TN-VA",
6423,33.7368329,-118.0062574,7.0,173.0,LOS ANGELES,
